No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Amount of Payment Schedule (ex GST),Section of Act application made under,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s22(4)(b) extension of time sought,Determination released,Determination released date,Adjudicated amount (ex GST),Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Region name,Description of work processed,Work category,Adjudicate ratio,Log claimed amount,Business Days between Application and Acceptance,Business Days between Acceptance and Completion,Business Days between Completion and Release,Adjudicate ratio bin,Adjudicate ratio binary
1,2021-05-11,2021-05-14,Concrete polishing,3186,11327.27,,s.18(1)(b),Trade subcontractor,Partnership,None,Head contractor,Pty Ltd Company,None,Determined,2021-05-28,,No,No,Yes,2021-05-28,11327.27,990.0,0.0,1.0,,990.0,Yes,100.0,2021-12-20,Southern Metropolitan,concrete polishing,2,1.0,9.334968371766625,4,11,1,H,1
2,2021-05-21,2021-05-26,Design and construction works,3039,202230.09,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2021-06-17,,No,Yes,Yes,2021-07-05,21274.43,35420.0,0.5,0.5,17710.0,17710.0,Yes,0.0,2021-08-31,Northern Metropolitan,design construction works,0,0.1051991323348568,12.217161387553324,4,16,13,L,0
3,2021-06-10,2021-06-16,Supply and installation of joinery,3186,19456.93,0.0,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-06-30,,No,No,Yes,2021-07-02,0.0,2331.82,1.0,0.0,2331.82,0.0,,,,Southern Metropolitan,supply installation joinery,1,0.0,9.875958583787975,4,11,3,L,0
4,2021-06-21,2021-06-24,Shop fit-out,3141,73212.33,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Determined,2021-07-02,,No,No,Yes,2021-07-05,73212.33,5727.27,0.0,1.0,0.0,5727.27,Yes,500.0,2021-07-16,Southern Metropolitan,shop fitout,2,1.0,11.201119128387488,4,7,2,H,1
6,2021-06-27,2021-06-30,Brickwork,3186,3696.0,,s.18(1)(b),Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,None,Determined,2021-07-14,,No,No,Yes,2021-07-26,0.0,777.27,1.0,0.0,777.27,0.0,No,,,Southern Metropolitan,brickwork,2,0.0,8.215006432761575,3,11,9,L,0
7,2021-06-30,2021-07-01,Design and construction works,3128,910630.08,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2021-07-22,,Yes,Yes,Yes,2021-07-22,804596.95,24200.0,0.5,0.5,12100.0,12100.0,Yes,0.0,2021-08-03,North-Eastern Metropolitan,design construction works,0,0.8835606989832798,13.721892034502181,2,16,1,H,1
9,2021-07-01,2021-07-06,Supply and install concrete structural works,3134,214920.83,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,2021-07-20,,No,No,Yes,2021-07-22,161942.57,9818.18,0.0,1.0,0.0,9818.18,Yes,500.0,2021-08-20,North-Eastern Metropolitan,supply install concrete structural works,6,0.7534987185746491,12.278025006737403,4,11,3,H,1
10,2021-07-02,2021-07-07,Remediation of contaminated land,3962,2245036.36,0.0,s.18(1)(a)(i),Major subcontractor,Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-22,,Yes,Yes,Yes,2021-07-23,0.0,22090.91,1.0,0.0,22090.91,0.0,No,,,Eastern Victoria,remediation contaminated land,2,0.0,14.624232275018429,4,12,2,L,0
11,2021-07-02,2021-07-07,"Supply and install drainer, sewer and stormwater and metal roof ",3498,23117.93,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,23117.93,818.18,0.0,1.0,0.0,818.18,No,,,Northern Victoria,supply install drainer sewer stormwater metal roof ,3,1.0,10.048363785906036,4,16,4,H,1
12,2021-07-02,2021-07-07,"Supply and install drainer, sewer and stormwater and temp fence hire",3498,25560.12,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,25560.12,818.18,0.0,1.0,0.0,818.18,No,,,Northern Victoria,supply install drainer sewer stormwater temp fence hire,1,1.0,10.148788603316131,4,16,4,H,1
